species_code,n,died,year,plot
28731-ACE-SAC,13,2,2007,422767
28731-ACE-SAC,3,3,2006,397211
28731-ACE-SAC,17,1,2006,397632
28731-ACE-SAC,17,1,2012,397779
28731-ACE-SAC,4,0,2011,395563
28731-ACE-SAC,1,0,2006,395688
28731-ACE-SAC,2,1,2006,395707
28731-ACE-SAC,5,0,2006,685063
28731-ACE-SAC,5,0,2006,685487
28731-ACE-SAC,5,0,2006,685605
28731-ACE-SAC,5,0,2006,686225
28731-ACE-SAC,5,0,2006,686426
28731-ACE-SAC,5,0,2006,686623
28731-ACE-SAC,3,1,2006,685063
28731-ACE-SAC,3,1,2006,685487
28731-ACE-SAC,3,1,2006,685605
28731-ACE-SAC,3,1,2006,686225
28731-ACE-SAC,3,1,2006,686426
28731-ACE-SAC,3,1,2006,686623
28731-ACE-SAC,3,0,2011,419730
28731-ACE-SAC,15,1,2008,685200
28731-ACE-SAC,15,1,2008,685690
28731-ACE-SAC,15,1,2008,685859
28731-ACE-SAC,15,1,2008,685952
28731-ACE-SAC,15,1,2008,686434
28731-ACE-SAC,15,1,2008,686514
28731-ACE-SAC,15,1,2008,686582
28731-ACE-SAC,16,1,2008,685200
28731-ACE-SAC,16,1,2008,685690
28731-ACE-SAC,16,1,2008,685859
28731-ACE-SAC,16,1,2008,685952
28731-ACE-SAC,16,1,2008,686434
28731-ACE-SAC,16,1,2008,686514
28731-ACE-SAC,16,1,2008,686582
28731-ACE-SAC,11,0,2008,685708
28731-ACE-SAC,11,0,2008,685712
28731-ACE-SAC,11,0,2008,686325
28731-ACE-SAC,11,0,2008,686433
28731-ACE-SAC,25,2,2008,685708
28731-ACE-SAC,25,2,2008,685712
28731-ACE-SAC,25,2,2008,686325
28731-ACE-SAC,25,2,2008,686433
28731-ACE-SAC,3,0,2008,397831
28731-ACE-SAC,3,0,2007,397768
28731-ACE-SAC,5,0,2012,398626
28731-ACE-SAC,7,0,2010,488147
28731-ACE-SAC,14,2,2006,397205
28731-ACE-SAC,11,0,2006,314865
28731-ACE-SAC,10,4,2007,397013
28731-ACE-SAC,9,3,2009,395673
28731-ACE-SAC,9,5,2009,397617
28731-ACE-SAC,11,0,2011,397608
28731-ACE-SAC,9,1,2012,395823
28731-ACE-SAC,2,1,2005,397248
28731-ACE-SAC,9,1,2009,590
28731-ACE-SAC,9,1,2009,10782
28731-ACE-SAC,9,1,2009,685837
28731-ACE-SAC,9,1,2009,686161
28731-ACE-SAC,9,1,2009,686557
28731-ACE-SAC,2,2,2010,397657
28731-ACE-SAC,7,0,2006,685249
28731-ACE-SAC,7,0,2006,685582
28731-ACE-SAC,7,0,2006,686105
28731-ACE-SAC,7,0,2006,686449
28731-ACE-SAC,10,0,2006,685249
28731-ACE-SAC,10,0,2006,685582
28731-ACE-SAC,10,0,2006,686105
28731-ACE-SAC,10,0,2006,686449
28731-ACE-SAC,3,2,2010,397251
28731-ACE-SAC,10,1,2007,685029
28731-ACE-SAC,10,1,2007,685178
28731-ACE-SAC,10,1,2007,685421
28731-ACE-SAC,10,1,2007,685517
28731-ACE-SAC,10,1,2007,685538
28731-ACE-SAC,10,1,2007,685556
28731-ACE-SAC,10,1,2007,685758
28731-ACE-SAC,10,1,2007,686287
28731-ACE-SAC,3,2,2007,685029
28731-ACE-SAC,3,2,2007,685178
28731-ACE-SAC,3,2,2007,685421
28731-ACE-SAC,3,2,2007,685517
28731-ACE-SAC,3,2,2007,685538
28731-ACE-SAC,3,2,2007,685556
28731-ACE-SAC,3,2,2007,685758
28731-ACE-SAC,3,2,2007,686287
28731-ACE-SAC,27,2,2012,419769
28731-ACE-SAC,7,2,2011,397627
28731-ACE-SAC,1,1,2009,397149
28731-ACE-SAC,14,9,2009,396807
28731-ACE-SAC,13,0,2012,396990
28731-ACE-SAC,4,0,2012,395827
28731-ACE-SAC,22,19,2011,397645
28731-ACE-SAC,2,1,2006,396834
28731-ACE-SAC,9,0,2005,398727
28731-ACE-SAC,7,1,2007,316922
28731-ACE-SAC,7,1,2007,317030
28731-ACE-SAC,2,0,2011,396191
28731-ACE-SAC,28,6,2010,396823
28731-ACE-SAC,1,0,2008,395967
28731-ACE-SAC,4,1,2006,314986
28731-ACE-SAC,2,0,2005,685227
28731-ACE-SAC,2,0,2005,685439
28731-ACE-SAC,2,0,2005,685565
28731-ACE-SAC,2,0,2005,685670
28731-ACE-SAC,2,0,2005,685770
28731-ACE-SAC,2,0,2005,685853
28731-ACE-SAC,2,0,2005,685902
28731-ACE-SAC,2,0,2005,686157
28731-ACE-SAC,2,0,2005,686397
28731-ACE-SAC,7,0,2005,685227
28731-ACE-SAC,7,0,2005,685439
28731-ACE-SAC,7,0,2005,685565
28731-ACE-SAC,7,0,2005,685670
28731-ACE-SAC,7,0,2005,685770
28731-ACE-SAC,7,0,2005,685853
28731-ACE-SAC,7,0,2005,685902
28731-ACE-SAC,7,0,2005,686157
28731-ACE-SAC,7,0,2005,686397
28731-ACE-SAC,7,1,2008,397049
28731-ACE-SAC,5,5,2009,395495
28731-ACE-SAC,18,0,2007,314593
28731-ACE-SAC,18,0,2007,315896
28731-ACE-SAC,16,0,2007,314593
28731-ACE-SAC,16,0,2007,315896
28731-ACE-SAC,2,2,2009,419881
28731-ACE-SAC,12,0,2006,314437
28731-ACE-SAC,8,0,2012,395734
28731-ACE-SAC,6,1,2005,396092
28731-ACE-SAC,1,0,2007,397728
28731-ACE-SAC,35,4,2005,403612
28731-ACE-SAC,1,1,2007,397019
28731-ACE-SAC,12,0,2010,422692
28731-ACE-SAC,7,0,2010,397903
28731-ACE-SAC,11,0,2005,397575
28731-ACE-SAC,2,0,2007,316021
28731-ACE-SAC,7,0,2012,488261
28731-ACE-SAC,1,1,2010,396188
28731-ACE-SAC,4,4,2010,422822
28731-ACE-SAC,2,1,2007,397783
28731-ACE-SAC,8,0,2010,397981
28731-ACE-SAC,5,5,2005,420686
28731-ACE-SAC,39,30,2011,398373
28731-ACE-SAC,15,2,2006,315904
28731-ACE-SAC,14,1,2010,398552
28731-ACE-SAC,1,1,2005,397016
28731-ACE-SAC,5,0,2009,397237
28731-ACE-SAC,1,1,2009,685108
28731-ACE-SAC,1,1,2009,685522
28731-ACE-SAC,1,0,2005,395492
28731-ACE-SAC,7,2,2005,398546
28731-ACE-SAC,5,3,2008,395954
28731-ACE-SAC,6,4,2009,421399
28731-ACE-SAC,2,0,2012,397753
28731-ACE-SAC,18,1,2006,395507
28731-ACE-SAC,7,0,2011,397717
28731-ACE-SAC,7,2,2008,315571
28731-ACE-SAC,7,0,2007,395796
28731-ACE-SAC,17,3,2010,685044
28731-ACE-SAC,17,3,2010,685103
28731-ACE-SAC,17,3,2010,685428
28731-ACE-SAC,17,3,2010,685823
28731-ACE-SAC,17,3,2010,685875
28731-ACE-SAC,20,0,2010,685044
28731-ACE-SAC,20,0,2010,685103
28731-ACE-SAC,20,0,2010,685428
28731-ACE-SAC,20,0,2010,685823
28731-ACE-SAC,20,0,2010,685875
28731-ACE-SAC,6,4,2012,397763
28731-ACE-SAC,4,0,2012,395804
28731-ACE-SAC,8,0,2012,396954
28731-ACE-SAC,4,4,2011,397922
28731-ACE-SAC,2,0,2005,316440
28731-ACE-SAC,2,0,2012,397735
28731-ACE-SAC,19,0,2008,398695
28731-ACE-SAC,18,8,2006,398361
28731-ACE-SAC,21,10,2009,488271
28731-ACE-SAC,5,5,2008,395993
28731-ACE-SAC,18,2,2006,685272
28731-ACE-SAC,18,2,2006,685512
28731-ACE-SAC,18,2,2006,685607
28731-ACE-SAC,18,2,2006,685701
28731-ACE-SAC,18,2,2006,685717
28731-ACE-SAC,18,2,2006,685937
28731-ACE-SAC,18,2,2006,685993
28731-ACE-SAC,18,2,2006,686004
28731-ACE-SAC,18,2,2006,686345
28731-ACE-SAC,18,2,2006,686407
28731-ACE-SAC,12,0,2006,685272
28731-ACE-SAC,12,0,2006,685512
28731-ACE-SAC,12,0,2006,685607
28731-ACE-SAC,12,0,2006,685701
28731-ACE-SAC,12,0,2006,685717
28731-ACE-SAC,12,0,2006,685937
28731-ACE-SAC,12,0,2006,685993
28731-ACE-SAC,12,0,2006,686004
28731-ACE-SAC,12,0,2006,686345
28731-ACE-SAC,12,0,2006,686407
28731-ACE-SAC,7,1,2006,685272
28731-ACE-SAC,7,1,2006,685512
28731-ACE-SAC,7,1,2006,685607
28731-ACE-SAC,7,1,2006,685701
28731-ACE-SAC,7,1,2006,685717
28731-ACE-SAC,7,1,2006,685937
28731-ACE-SAC,7,1,2006,685993
28731-ACE-SAC,7,1,2006,686004
28731-ACE-SAC,7,1,2006,686345
28731-ACE-SAC,7,1,2006,686407
28731-ACE-SAC,11,1,2006,685272
28731-ACE-SAC,11,1,2006,685512
28731-ACE-SAC,11,1,2006,685607
28731-ACE-SAC,11,1,2006,685701
28731-ACE-SAC,11,1,2006,685717
28731-ACE-SAC,11,1,2006,685937
28731-ACE-SAC,11,1,2006,685993
28731-ACE-SAC,11,1,2006,686004
28731-ACE-SAC,11,1,2006,686345
28731-ACE-SAC,11,1,2006,686407
28731-ACE-SAC,11,0,2006,685052
28731-ACE-SAC,11,0,2006,685162
28731-ACE-SAC,11,0,2006,685237
28731-ACE-SAC,11,0,2006,685878
28731-ACE-SAC,11,0,2006,686188
28731-ACE-SAC,11,0,2006,686306
28731-ACE-SAC,11,0,2006,686431
28731-ACE-SAC,11,0,2006,686660
28731-ACE-SAC,6,2,2011,397009
28731-ACE-SAC,7,1,2007,685005
28731-ACE-SAC,7,1,2007,685399
28731-ACE-SAC,7,1,2007,685879
28731-ACE-SAC,7,1,2007,686487
28731-ACE-SAC,5,0,2007,685005
28731-ACE-SAC,5,0,2007,685399
28731-ACE-SAC,5,0,2007,685879
28731-ACE-SAC,5,0,2007,686487
28731-ACE-SAC,3,2,2010,397829
28731-ACE-SAC,10,0,2008,398700
28731-ACE-SAC,8,5,2006,397677
28731-ACE-SAC,26,0,2007,404608
28731-ACE-SAC,14,4,2012,488140
28731-ACE-SAC,13,0,2011,397916
28731-ACE-SAC,2,0,2009,398720
28731-ACE-SAC,3,1,2006,395627
28731-ACE-SAC,12,3,2012,398424
28731-ACE-SAC,12,2,2005,641556
28731-ACE-SAC,5,0,2007,395762
28731-ACE-SAC,12,1,2009,422662
28731-ACE-SAC,2,0,2011,398527
28731-ACE-SAC,11,10,2007,395874
28731-ACE-SAC,35,9,2007,398425
